,Latitude,Longtitude,City,Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,36.0652,-119.0168,Porterville,36.75,87,0,0.67,2022-01-30 11:40:55,US
1,-0.7393,-90.3518,Puerto Ayora,72.61,85,100,7.52,2022-01-30 11:40:55,EC
2,53.9711,38.3363,Donskoy,21.52,92,99,14.36,2022-01-30 11:40:55,RU
3,-21.2,-175.2,Vaini,80.89,78,100,13.89,2022-01-30 11:40:56,TO
4,-22.9661,-42.0278,Arraial do Cabo,82.26,74,75,5.75,2022-01-30 11:40:56,BR
5,5.4112,100.3354,George Town,85.95,75,20,1.01,2022-01-30 11:40:57,MY
6,35.1333,140.3,Katsuura,43.5,57,100,7.07,2022-01-30 11:37:43,JP
7,-54.8,-68.3,Ushuaia,44.26,70,75,25.32,2022-01-30 11:40:58,AR
8,26.1247,127.6694,Itoman,60.94,82,75,29.93,2022-01-30 11:40:58,JP
9,-33.8667,121.9,Esperance,85.84,47,19,19.53,2022-01-30 11:40:58,AU
10,-21.2078,-159.775,Avarua,78.85,83,40,12.66,2022-01-30 11:40:59,CK
11,-33.9258,18.4232,Cape Town,79.86,49,0,7.0,2022-01-30 11:36:25,ZA
12,64.3833,-173.3,Provideniya,4.01,79,4,5.99,2022-01-30 11:40:59,RU
13,57.3064,88.1667,Tegul'det,1.51,100,93,3.62,2022-01-30 11:41:00,RU
14,-33.0153,27.9116,East London,81.54,69,20,20.71,2022-01-30 11:39:07,ZA
15,22.0752,-159.319,Kapaa,69.84,77,40,11.5,2022-01-30 11:41:01,US
16,40.1629,-8.3327,Lata,55.33,25,54,3.53,2022-01-30 11:41:01,PT
17,70.0311,20.9714,Skjervøy,14.0,61,100,4.07,2022-01-30 11:41:02,NO
18,-20.5167,57.5167,Souillac,86.38,70,75,14.97,2022-01-30 11:41:02,MU
19,71.2906,-156.7887,Barrow,-2.18,78,100,12.66,2022-01-30 11:41:02,US
20,-33.918,25.5701,Port Elizabeth,80.89,61,0,13.8,2022-01-30 11:41:03,ZA
21,-46.1927,168.8643,Mataura,59.49,98,95,2.48,2022-01-30 11:41:03,NZ
22,52.7985,28.0048,Lyuban',33.64,93,93,15.86,2022-01-30 11:41:03,BY
23,-24.7911,-50.0119,Castro,63.03,99,100,6.13,2022-01-30 11:41:04,BR
24,47.6666,-52.7314,Torbay,51.3,98,100,20.71,2022-01-30 11:41:04,CA
