,Latitude,Longtitude,City,Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,60.4667,166.1,Tilichiki,16.81,71,87,17.22,2022-01-30 09:21:42,RU
1,78.2186,15.6401,Longyearbyen,6.64,66,0,11.5,2022-01-30 09:21:42,SJ
2,35.3658,-120.8499,Morro Bay,48.11,63,0,1.99,2022-01-30 09:21:43,US
3,37.9407,22.9573,Corinth,50.97,71,75,5.61,2022-01-30 09:21:43,GR
4,59.6425,-151.5483,Homer,20.07,84,100,5.75,2022-01-30 09:21:43,US
5,-34.4187,19.2345,Hermanus,81.81,54,43,16.44,2022-01-30 09:21:44,ZA
6,-23.1203,-134.9692,Rikitea,76.57,62,100,6.55,2022-01-30 09:21:44,PF
7,-34.5322,20.0403,Bredasdorp,74.52,64,63,16.11,2022-01-30 09:21:44,ZA
8,42.6001,-73.9662,Albany,2.98,53,27,15.01,2022-01-30 09:21:45,US
9,-9.8,-139.0333,Atuona,77.74,75,9,14.05,2022-01-30 09:21:45,PF
10,-30.1811,-50.2056,Cidreira,72.75,62,51,13.51,2022-01-30 09:21:46,BR
11,55.1001,-105.2842,La Ronge,14.25,92,100,4.61,2022-01-30 09:21:46,CA
12,66.0449,-17.3389,Husavik,35.51,82,100,16.4,2022-01-30 09:21:47,IS
13,-46.1927,168.8643,Mataura,60.48,97,94,2.48,2022-01-30 09:21:47,NZ
14,52.9233,6.7931,Borger,42.58,71,9,18.37,2022-01-30 09:21:48,NL
15,-20.4081,57.7,Mahébourg,86.29,66,40,11.5,2022-01-30 09:21:48,MU
16,-2.65,10.0,Gamba,82.81,70,85,3.29,2022-01-30 09:21:49,GA
17,-22.9661,-42.0278,Arraial do Cabo,73.26,94,75,5.75,2022-01-30 09:21:49,BR
18,-42.8794,147.3294,Hobart,65.79,77,20,1.99,2022-01-30 09:20:04,AU
19,-54.8,-68.3,Ushuaia,42.46,81,75,23.02,2022-01-30 09:21:50,AR
20,-33.5906,26.891,Port Alfred,80.62,60,0,13.47,2022-01-30 09:21:50,ZA
21,-33.0393,-71.6273,Valparaíso,56.84,88,0,3.44,2022-01-30 09:21:51,CL
22,6.4965,2.6036,Porto-Novo,84.94,18,100,7.92,2022-01-30 09:21:17,BJ
23,37.4636,-122.4286,Half Moon Bay,48.11,62,0,3.44,2022-01-30 09:21:51,US
24,-21.3585,55.7679,Saint-Philippe,86.74,71,23,12.84,2022-01-30 09:21:52,RE
25,-26.6481,15.1594,Lüderitz,69.4,74,35,13.47,2022-01-30 09:21:52,NA
26,63.7506,-68.5145,Iqaluit,-13.27,64,75,9.22,2022-01-30 09:20:09,CA
27,42.097,-79.2353,Jamestown,3.65,85,100,5.75,2022-01-30 09:21:53,US
28,-7.3333,-75.0167,Contamana,72.73,99,100,1.57,2022-01-30 09:21:53,PE
29,-38.8759,-62.0736,Punta Alta,75.27,51,100,22.55,2022-01-30 09:21:54,AR
30,-51.6226,-69.2181,Río Gallegos,39.25,87,0,20.71,2022-01-30 09:21:54,AR
31,-33.9258,18.4232,Cape Town,79.97,44,0,7.0,2022-01-30 09:19:03,ZA
32,16.8634,-99.8901,Acapulco de Juárez,76.82,78,0,4.61,2022-01-30 09:21:55,MX
33,-19.0595,-169.9187,Alofi,75.09,94,100,1.14,2022-01-30 09:21:55,NU
34,-16.5167,-151.75,Vaitape,79.97,74,98,8.43,2022-01-30 09:21:56,PF
35,-6.8367,-79.9342,Pimentel,69.26,84,100,11.25,2022-01-30 09:21:56,PE
36,22.0752,-159.319,Kapaa,68.38,72,75,3.44,2022-01-30 09:21:56,US
37,50.6789,156.125,Severo-Kuril'sk,25.66,92,100,15.86,2022-01-30 09:21:57,RU
38,-21.2,-175.2,Vaini,81.34,77,100,14.97,2022-01-30 09:21:57,TO
39,-20.2333,164.0167,Poum,81.34,77,100,8.3,2022-01-30 09:21:58,NC
40,1.1667,108.9667,Pemangkat,82.09,70,100,7.25,2022-01-30 09:21:58,ID
41,22.2855,114.1577,Hong Kong,65.1,57,53,10.0,2022-01-30 09:21:59,HK
42,-29.522,28.6084,Thaba-Tseka,69.96,30,0,2.37,2022-01-30 09:21:59,LS
43,-21.55,167.8833,Tadine,80.38,89,88,15.52,2022-01-30 09:21:59,NC
44,46.3333,2.6,Montluçon,42.67,98,100,1.14,2022-01-30 09:22:00,FR
45,18.2164,42.5053,Abhā,62.85,42,20,18.41,2022-01-30 09:22:00,SA
46,65.6145,-37.6368,Tasiilaq,10.56,50,0,15.41,2022-01-30 09:22:00,GL
47,32.6667,-17.1,Ponta do Sol,63.97,35,3,7.56,2022-01-30 09:22:01,PT
48,23.7833,78.3667,Rāhatgarh,77.14,19,0,8.72,2022-01-30 09:22:01,IN
49,-31.6683,18.5012,Vredendal,97.02,17,0,3.69,2022-01-30 09:22:01,ZA
50,-31.95,141.4333,Broken Hill,85.69,48,100,8.52,2022-01-30 09:20:23,AU
51,27.1,93.6167,Itanagar,72.23,36,2,4.12,2022-01-30 09:22:02,IN
52,5.4802,-53.2011,Iracoubo,74.86,88,36,6.85,2022-01-30 09:22:02,GF
53,62.456,-114.3525,Yellowknife,-19.68,76,40,5.75,2022-01-30 09:22:03,CA
54,9.4942,50.8122,Bandarbeyla,79.03,62,100,17.78,2022-01-30 09:22:03,SO
55,19.7297,-155.09,Hilo,65.21,77,40,6.91,2022-01-30 09:22:04,US
56,-16.4611,-49.9617,Anicuns,66.06,96,100,5.53,2022-01-30 09:22:04,BR
